"Типоразмер","a4","β","c8","i","P","R","h","d1","L1","L2"
"GKHT39","23,5","60°","10","20","140+0.2/-0.7","22,5","100-0.5","10.4+0.1/-0.1","36 0/-0.3","31"
"GKHT49","30","55°","12","20","160+0.2/-0.7","22,5","112-0.5","10.4+0.1/-0.1","36 0/-0.3","31"
"GKHT59","40","55°","13","18","192+0.2/-0.7","29","132-0.5","16.4+0.08/-0.08","60 0/-0.3","54"
"GKHT69","45","55°","13","25","200+0.2/-0.7","29","140-0.5","16.4+0.08/-0.08","60 0/-0.3","54"
"GKHT79","52,5","64°","14","25","250+0.2/-0.7","29","180-0.5","16.4+0.08/-0.08","60 0/-0.3","54"
"GKHT89","60","60°","16","30","300+0.2/-0.7","41","212-0.5","25+0.08/-0.08","80 0/-0.3","72"
"GKHT99","70","50°","17","40","350+0.2/-1.2","41","265-1","25+0.08/-0.08","100 0/-0.3","92"
"GKHT109","74","55°","20","45","450+0.5/-1.5","41","315-1","25+0.08/-0.08","100 0/-0.3","92"
"GKHT129","60","65°","45","7","550+0.5/-1.5","70","375-1","40+0.08/-0.08","126 0/-0.3","110"
"GKHT159","50","70°","45","2","700+0.5/-1.5","70","450-1","40+0.08/-0.08","126 0/-0.3","110"
